"Customer.Type","Type.of.Travel","Class","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"0","1","1",25,18,"0"
"1","0","0",1,6,"0"
"0","0","0",0,0,"1"
"0","0","0",11,9,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",9,23,"0"
"0","0","0",4,0,"1"
"0","0","0",0,0,"0"
"1","0","2",0,0,"0"
"1","0","2",0,0,"0"
"0","1","1",0,0,"0"
"0","0","2",28,8,"0"
"0","1","2",0,0,"1"
"0","1","2",43,35,"0"
"1","0","2",1,0,"0"
"0","0","0",49,51,"1"
"0","0","0",0,10,"1"
"0","0","0",7,5,"1"
"0","1","2",17,18,"0"
"0","0","2",0,4,"0"
"0","1","2",0,0,"0"
"0","1","2",52,29,"0"
"0","1","2",0,0,"0"
"1","0","2",54,44,"1"
"0","1","2",27,28,"0"
"0","0","0",0,0,"1"
"0","0","1",0,8,"1"
"0","0","0",18,12,"0"
"0","1","2",19,0,"0"
"0","0","0",0,0,"1"
"1","0","2",3,0,"0"
"0","0","0",109,120,"1"
"0","1","2",18,24,"0"
"1","0","0",9,0,"0"
"0","0","2",0,1,"0"
"1","0","0",0,0,"0"
"0","1","1",23,20,"0"
"0","1","2",23,31,"1"
"1","0","0",0,0,"0"
"0","0","0",0,0,"1"
"1","0","0",9,23,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",1,15,"1"
"0","0","0",4,0,"1"
"0","1","0",0,0,"0"
"0","0","0",0,0,"0"
"0","0","0",8,0,"1"
"0","1","2",0,0,"0"
"0","0","2",14,8,"0"
"0","0","0",0,1,"1"
"0","0","2",0,0,"1"
"0","1","2",1,0,"0"
"0","1","2",10,10,"0"
"0","0","0",51,48,"1"
"0","0","0",0,5,"1"
"0","0","0",0,0,"1"
"1","0","0",39,26,"0"
"1","0","2",4,0,"0"
"1","0","0",0,0,"0"
"0","0","0",0,0,"1"
"1","0","2",13,1,"0"
"0","0","0",0,0,"1"
"0","0","0",30,15,"1"
"0","0","0",4,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
